Continent,Code,Significance_decline,Long,Lat,Bio1_MeanAnnTemp,Bio2_MeanDiurRange,Bio3_Isotherm,Bio4_TempSeasonality,Bio5_MaxTempWarmestM,Bio6_MinTempColdestM,Bio7_TempAnnRange,Bio8_MeanTempWettestQ,Bio9_MeanTempDriestQ,Bio10_MeanTempWarmestQ,Bio11_MeanTempColdestQ,Bio12_AnnPrecip,Bio13_PrecWettestM,Bio14_PrecDriestM,Bio15_PrecSeasonal,Bio16_PrecWettestQ,Bio17_PrecDriestQ,Bio18_PrecWarmestQ,Bio19_PrecColdestQ,Human_density_2000,Aquaculture_index,MEAN_Anomalies_1975_2005,BO2_tempmax_ss,BO2_templtmax_ss,Mean_3Mnth_SST
EUROPE,DIO,Significant,-4.8,58.52,8.03075406,5.89166679,39.14109456,341.4204763,15.66666698,0.614285707,15.05238128,8.803174655,8.855555773,12.36746041,4.126190464,1283,151,65,26.81430603,426,218,325,341,1,0.002142429,134.2903226,13.86808205,13.36981201,10.4533329
EUROPE,DON,NoChange,-2.852261111,57.24469242,7.425333315,7.219999922,39.34176274,412.5317481,16.53999901,-1.812000036,18.35199904,5.34999989,8.734666844,12.80999994,2.76199997,815,88,54,17.54874928,244,167,183,218,61.88,0.001558151,139.1290323,13.76529598,13.30092812,10.29666678
EUROPE,EESK,Significant,-0.959033,54.461875,8.046000063,6.52666676,35.94771243,431.9968294,16.86400032,-1.291999936,18.15600026,6.002666612,9.208666762,13.57000025,3.200000087,911,93,56,18.07833541,278,182,207,249,120.5263158,0.000990606,140,17.07345963,16.57911682,13.35999997
EUROPE,Eidf,Significant,7.07,60.47,5.146093755,6.684895935,32.32346087,531.9639765,15.16250038,-5.518750191,20.68125057,1.960416655,7.948958491,11.80104168,-0.974999984,1023,118,43,31.95966601,345,143,208,303,7.84,0.003669197,140.7419355,16.67338562,15.96454525,13.61333338
EUROPE,Eira,Significant,8.12,62.68,6.823809547,6.12222226,32.14166677,485.261812,16.60952377,-2.438095331,19.0476191,4.069841415,8.601587335,13.06031736,1.314285795,1129,141,49,29.7652686,378,175,218,352,32.91304348,0.004613157,139.8387097,15.36056805,14.37904167,11.95000013
EUROPE,Elve,Significant,17.56,68.55,1.761413012,5.748188415,21.83817859,739.0550038,15.06086922,-11.26086998,26.3217392,6.864492844,4.943478266,11.33333325,-6.691304485,836,102,42,25.56681307,266,138,196,231,47.95652174,0.002281635,128.7419355,13.67214775,12.61314964,5.776666482
EUROPE,EMT,Significant,40.48,64.57,1.11249995,5.874999925,16.84346349,1019.195325,18.45999908,-16.42000008,34.87999916,7.716666728,-10.06000002,13.99666659,-11.56333335,541,64,25,32.03216108,185,82,179,96,19.56521739,0.000488204,141.2580645,15.57463837,13.96795177,7.306666811
EUROPE,Enni,NoChange,11.47,58.98,6.166166564,7.076999683,27.0941801,702.2387035,18.85199928,-7.268000126,26.11999941,6.323999951,0.953999989,15.1633331,-2.167333345,826,96,45,25.04075163,276,147,214,189,85.56,0.001139242,143,19.64669609,18.3316555,14.763333
EUROPE,Etne,Significant,5.93,59.67,6.032465298,6.338541749,31.37244799,509.2868938,15.86666679,-4.337500095,20.20416689,3.563194414,8.118750071,12.62361121,0.336805483,2838,362,116,35.7394528,1006,384,524,891,53.68181818,0.005489637,135,16.80476952,16.04811668,11.62333314
EUROPE,Flek,NoChange,5.35,61.31,6.795166701,6.025666773,30.85654936,506.4165377,16.9279995,-2.599999905,19.5279994,4.103333453,8.665333271,13.46333329,1.30733341,3195,390,136,36.13273905,1116,448,547,1006,57.30434783,0.004477375,138,16.10027504,15.07660866,12.50333341
EUROPE,FND,Significant,-3.672053,57.453147,7.357166609,7.102999923,40.47754664,396.4075222,15.97200012,-1.575999975,17.5480001,3.574666614,8.51333334,12.48133318,2.896666641,909,101,53,19.93973011,279,174,199,254,68.52173913,0.001625431,139.1290323,14.94140816,14.27042389,12.00999991
EUROPE,Fors,NoChange,16.63,68.27,2.424801588,5.056746058,22.38441567,660.2580046,14.61428547,-7.976190567,22.59047604,-1.247618998,5.038095236,11.25079362,-4.754761855,1271,164,67,28.37618297,416,205,262,385,12,0.002281635,128.7419355,13.67214775,12.61314964,5.776666482
EUROPE,FOY,Significant,-7.25,55.05,9.464583357,5.474999984,35.4943274,374.6656054,17.1875,1.762500048,15.42499995,7.699999889,10.52916662,14.15625,5.166666706,1286,142,70,24.27447405,420,225,276,368,105.8666667,0.00160063,138.1935484,14.89556122,14.55196762,12.24000009
EUROPE,FRTH,Significant,-4.370859,56.354118,6.690666677,5.89733338,36.04726923,405.177765,14.7840004,-1.575999975,16.36000037,2.774666635,8.144666711,11.82600005,2.144666699,1953,250,97,32.53839841,678,307,337,627,51.88,0.001332959,137.9032258,14.92848015,14.14698982,11.27999973
EUROPE,GauST,NoChange,10.24,63.34,5.27413195,6.100347149,28.57863201,576.0032916,15.9375,-5.408333302,21.3458333,9.27569445,4.421527709,12.66736126,-1.340277811,993,110,54,22.11740515,306,180,252,260,112.047619,0.004097628,140.2258065,14.60276985,13.58308887,10.33333333
EUROPE,Glop,NoChange,6.2,61.77,6.32805561,5.907222291,30.47054085,510.8057954,15.73333359,-3.653333426,19.38666701,3.288888812,8.860000034,12.87222242,0.440000037,1467,193,54,40.95865702,538,189,235,486,54.42105263,0.005103308,140.7419355,16.0668335,14.94060516,11.05999994
EUROPE,GRU,Significant,-5.404874,57.842053,7.876500091,6.079666852,38.3720444,366.4104056,15.82400036,-0.02,15.84400036,5.971333365,8.898000201,12.52733342,3.575999997,1974,236,91,32.63094175,679,300,441,594,20,0.002471253,137.9032258,13.75336933,13.37804699,11.22666677
EUROPE,HEL,NoChange,-3.92261,58.230005,7.575666642,7.115999984,42.02693195,374.6862045,15.85999966,-1.072000027,16.93199968,5.729333277,8.617333333,12.2919999,3.249999995,1090,122,63,22.41200621,344,198,230,296,18.83333333,0.001767594,138.1612903,14.80999374,14.06874371,11.09666665
EUROPE,Homl,NoChange,10.8,63.41,5.079513909,6.293055492,28.17260481,606.2111116,16.14999962,-6.1875,22.33749962,9.199305495,4.238888984,12.8729167,-1.872916698,925,107,50,23.85622113,292,159,263,227,87.92857143,0.004097628,140.2258065,14.60276985,13.58308887,10.33333333
EUROPE,Jols,Significant,5.83,61.46,6.369696915,6.149999857,31.32669699,522.8033616,16.30454445,-3.327272654,19.6318171,1.350757569,8.449242383,13.16136344,0.602272669,2512,314,96,38.77185419,886,330,411,824,56.08,0.004308605,138,16.04275513,14.99630356,12.19333331
EUROPE,Koma,NoChange,30.25,70.24,0.37699998,4.696666621,20.75232691,652.8488405,12.3039999,-10.32800007,22.63199997,5.467333376,-2.196666653,9.011333267,-6.688666662,581,62,36,20.39109725,179,110,176,121,22.27777778,0.000969717,136.3870968,12.35534477,10.29805756,-0.096666654
EUROPE,KUN,Significant,26.53,59.52,5.43030304,6.887878792,23.05741522,824.0982221,19.4636364,-10.409091,29.87272739,14.94393937,-1.060606043,15.89242427,-4.283333398,580,77,27,35.17645463,208,85,202,105,73.06666667,0.000470408,144.1935484,20.46277809,18.65712166,12.19000022
EUROPE,Laer,Significant,7.48,61.1,4.691319466,6.190972169,29.03152339,549.403417,15.09166622,-6.233333111,21.32499933,1.387500008,7.686805487,11.74097228,-1.66180555,863,102,34,31.3086733,290,123,182,265,12.76923077,0.004314392,140.7419355,16.04995346,15.11524963,12.09666634
EUROPE,Laks,NoChange,27.55,70.06,-0.991000056,8.224666754,24.7254292,900.6204113,16.45199966,-16.81200027,33.26399994,10.6233333,-7.256000121,10.6233333,-11.51600011,435,57,23,31.95184554,156,71,156,86,1,0.001244341,130.6451613,11.20999336,9.618743896,0.00333341
EUROPE,Lauk,NoChange,17.86,69.23,2.318055619,5.38819446,21.54559609,716.695113,14.73333359,-10.27499962,25.00833321,7.202777863,5.597222328,11.6298612,-6.004166603,900,116,45,27.81608484,291,146,193,255,57.22222222,0.00217089,128.7419355,13.26562309,12.20022774,6.379999955
EUROPE,LEB,Significant,41.28,66.95,0.365104185,5.248958234,21.85358602,702.3933285,11.8125,-12.20625019,24.01875019,8.952083429,-5.860416554,8.998958349,-7.714583238,382,51,19,33.58633645,137,62,135,63,1,0.000561455,140.4193548,9.787119865,8.927447319,0.98999993
EUROPE,LOI,Significant,-2.18,47.27,12.62083339,7.012499988,34.82309069,490.5390797,22.60000038,2.462500095,20.13750029,7.766666571,18.79166683,18.79166683,6.916666547,795,93,42,28.04301268,271,127,127,251,124.8,0.000533489,141.3225806,19.3260994,18.66986465,16.19000053
EUROPE,Lone,Significant,5.49,60.53,7.082333272,6.047333191,30.96115579,511.3100089,16.70000076,-2.832000017,19.53200078,4.375333289,9.222666601,13.71399991,1.357333283,2411,289,104,32.89853273,823,350,465,718,111.5909091,0.005018627,138,16.18372345,15.41987801,11.25333341
EUROPE,LOS,Significant,-3.337171,57.60851,8.192666674,6.768666776,39.3710251,394.8621746,16.91600037,-0.275999993,17.19200036,8.768000086,5.11866669,13.26266654,3.725333389,706,70,44,15.13155172,207,147,174,176,80.26666667,0.001678188,139.1290323,15.14025021,14.42182064,11.84333324
EUROPE,Mals,NoChange,18.51,69.27,1.772348464,5.676515162,21.62107596,752.417257,15.23636341,-11.0181818,26.25454521,-2.216666738,5.359090845,11.55151518,-6.986363689,787,95,38,28.65011692,254,119,174,234,16.60869565,0.002631094,137.6774194,11.75354004,11.19030094,4.386666775
EUROPE,Mask,NoChange,28.15,70.28,-0.602666666,8.081333339,24.71355704,886.5071788,16.41200066,-16.28800011,32.70000076,9.791333397,-1.827999949,10.76533341,-11.07333342,436,54,23,28.81139086,148,70,147,96,1,0.001244341,136.3870968,11.20999336,9.618743896,0.00333341
EUROPE,MOID,Significant,-5.718228965,56.78329029,8.763500027,5.84966665,35.66870056,396.0406922,17.0359993,0.635999978,16.39999932,4.720666657,10.12066674,13.66800006,4.081999987,2072,246,93,33.7388299,721,303,476,632,7.333333333,0.002465985,137.9032258,13.93898201,13.77236462,11.82000001
EUROPE,MOY,Significant,-9.15,54.1,9.493833229,6.355666945,39.39788563,365.2347816,17.5,1.367999911,16.13200009,7.779333353,10.62799994,14.11399984,5.283333361,1082,123,61,25.52734699,361,200,216,306,84.70833333,0.001066251,135.0967742,16.14653206,15.6364603,12.74000009
EUROPE,NAC,Significant,-6.08,43.57,13.35583325,6.89055562,41.60963673,352.7930355,22.13999939,5.579999924,16.55999947,12.08,17.64111074,18.04333321,9.513333321,983,109,44,30.10668319,322,141,152,293,129.125,0.00046135,140,20.82812309,20.4207058,16.1233333
EUROPE,NAI,NoChange,-4.097144626,57.45913998,8.113333288,6.297333115,38.08256611,390.8799573,16.44799995,-0.088,16.53599995,4.285333246,9.273999929,13.11199999,3.665333224,896,98,49,21.21534279,281,167,198,250,73.31818182,0.001605996,137.9032258,14.8539381,14.21952915,11.8733333
EUROPE,NAV,Significant,-4.347968,58.201696,6.635500054,6.885000029,42.07406438,366.5493697,14.72000027,-1.644000053,16.36400032,3.210666758,7.65199998,11.27733342,2.583333355,1624,183,85,25.92232179,524,277,320,463,9.64,0.002064074,134.2903226,13.72604561,13.22283268,10.52000014
EUROPE,NES,Significant,-2.42,56.75,8.439772757,6.899242416,38.19409403,418.4158203,17.56363678,-0.5,18.06363678,11.91818182,5.210606009,13.81212139,3.721212119,674,68,39,15.85495155,194,135,169,172,91.88888889,0.001439019,139.1290323,14.10020065,13.44033146,10.11999989
EUROPE,NESS,Significant,-4.296380409,57.4330868,8.078333371,6.240666722,37.80389123,390.25781,16.40800095,-0.100000001,16.50800095,4.265333322,9.273333351,13.06666676,3.618000002,1250,145,66,27.49567474,418,209,243,375,77.5,0.001596591,137.9032258,14.81445885,14.20895672,11.84666697
EUROPE,NITH,Significant,-3.873247537,55.43467655,7.689499965,6.778333205,39.39975153,394.7405927,15.93599987,-1.268000007,17.20399988,3.988666654,9.010666509,12.72599991,3.304,1609,187,84,30.73164014,549,258,286,500,74.28,0.001010926,140,17.22999382,16.59999275,13.90333335
EUROPE,Nume,NoChange,10.06,59.03,7.568981518,5.552777708,22.41031371,727.1283818,19.92222214,-4.855555534,24.77777767,7.82962964,11.23333323,16.82222223,-1.025925875,978,120,51,29.05645342,347,172,226,223,120.5,0.001240655,143,19.30579758,18.1543541,14.52999973
EUROPE,OLF,Significant,-21.23,63.93,4.547500011,5.228333401,31.57206126,436.672616,13.40666676,-3.153333426,16.56000018,-0.01444447,8.966666579,10.29333337,-0.114444455,1318,130,83,16.72918891,380,255,283,378,26.52941176,0.000727892,131.9032258,13.29514313,12.40056038,9.773333073
EUROPE,OsMo,Significant,7.72,62.79,6.260666647,5.165999971,29.77178325,458.3317757,15.02000046,-2.332000017,17.35200047,1.840666607,7.725333234,12.24533343,1.180666621,1655,204,70,32.77226132,569,243,295,542,49.76,0.004613157,139.2903226,15.36056805,14.37904167,11.95000013
EUROPE,OsOs,Significant,5.47,60.18,7.276388951,5.916111097,30.82378201,504.1772318,16.55999947,-2.633333445,19.19333291,4.868888994,9.275555611,13.78555568,1.582222203,2255,266,102,31.56733322,768,336,448,656,128.625,0.00886479,138,16.72254753,15.71728992,11.89999994
EUROPE,OUS,NoChange,-1.707432,54.269301,8.865333493,7.125333677,37.90071066,435.7270478,18.07600021,-0.723999977,18.80000019,4.744000157,5.478666882,14.43666697,3.934000134,792,80,53,14.65148981,234,171,190,211,115.52,0.001009421,140,15.35095024,14.90895462,11.3700002
EUROPE,OYK,Significant,-4.723664292,58.07580193,7.105666652,7.044666737,42.16343524,377.1247151,15.31599998,-1.39199996,16.70799994,4.992666751,8.292666614,11.80199989,2.698000024,1921,220,98,28.19420995,635,315,439,559,2.52,0.001737093,134.2903226,14.93208027,14.20182037,11.58000024
EUROPE,PIG,Significant,-6.08,43.57,13.35583325,6.89055562,41.60963673,352.7930355,22.13999939,5.579999924,16.55999947,12.08,17.64111074,18.04333321,9.513333321,983,109,44,30.10668319,322,141,152,293,129.125,0.00046135,140,20.82812309,20.4207058,16.1233333
EUROPE,Reip,NoChange,13.63,66.91,4.750297634,4.981547777,25.64974998,537.400043,14.94999981,-4.471428394,19.4214282,2.092857132,6.526190542,11.85714285,-1.025000016,1920,236,87,32.56093407,654,285,356,510,53.66666667,0.002734459,138.2580645,13.93999386,12.92874336,7.066666762
EUROPE,Repp,Significant,24.32,70.45,-0.217803054,6.675757541,24.86315711,736.7933765,14.87727261,-11.97272682,26.84999943,5.096969724,-2.703787975,9.713636239,-7.871212006,618,67,40,16.69447278,184,123,154,158,1,0.001844872,124.9032258,10.72213364,9.713994026,0.073333263
EUROPE,Risf,Significant,28.17,70.98,1.449122777,4.566666792,22.29359435,587.5010708,12.78947353,-7.694736958,20.48421049,2.142105321,-0.895614068,9.215789398,-4.707894762,524,60,31,20.65915939,165,96,138,112,1,0.001319912,136.3870968,11.19334888,9.664744377,-0.083333333
EUROPE,Roks,Significant,15.87,69.05,4.093500033,4.735666662,24.82005536,535.6545863,14.54800034,-4.532000065,19.0800004,1.281999975,9.254000227,11.2980001,-1.608666639,1258,171,59,30.92845739,433,199,226,367,55.8,0.002665919,128.7419355,12.91834831,11.94221878,5.839999994
EUROPE,Rygg,Significant,6.13,61.78,5.697395809,5.58437489,31.23033901,460.1551447,14.24374962,-3.637500048,17.88124967,1.03124999,7.987499893,11.45000005,0.335416635,1830,235,66,39.93988184,660,235,299,607,53.83333333,0.005011782,140.7419355,15.98498631,14.88267899,11.6200002
EUROPE,Sand,NoChange,28.05,71.05,1.517777851,4.568888916,22.69315648,577.4208208,12.5466671,-7.586666584,20.13333368,2.13222225,-0.787777794,9.168889125,-4.49444443,540,66,33,20.99517535,173,103,137,116,1,0.001372389,136.3870968,11.19268036,9.733495712,-0.026666641
EUROPE,SEL,Significant,-14.81,65.83,3.884090925,6.186363688,34.96916817,450.6518982,13.64545441,-4.045454502,17.69090891,7.231818138,5.310606201,9.940909068,-0.587878784,819,111,46,30.6644841,291,142,197,188,1,0.000901362,128.2580645,9.937600136,9.136283875,5.50666666
EUROPE,SESK,Significant,-2.66079,56.72376,8.20949993,7.310333302,39.46411784,421.187561,17.3920002,-1.132000089,18.52400029,11.71666646,5.049999863,13.60399977,3.415999999,686,71,43,15.47856683,197,141,166,177,91.76190476,0.001424522,139.1290323,14.24834156,13.53649902,10.29666646
EUROPE,Skie,Significant,9.63,59.13,7.549000132,5.585333352,21.78367113,761.5481067,20.0720005,-5.56799984,25.64000034,7.542666723,2.411333283,17.18666697,-1.501333296,934,118,48,29.8266909,335,161,234,191,109.1818182,0.001270749,139.6129032,19.20999336,18.1812439,14.29666678
EUROPE,Skip,Significant,19.8,70.16,2.940579721,4.715942072,22.51280014,596.868194,14.23478222,-6.713043213,20.94782543,-0.407246391,8.87608707,11.01159422,-3.322463756,837,105,50,24.43022759,269,156,174,233,20,0.002991614,124.9032258,11.25050259,10.44149399,5
EUROPE,SNIZ,Significant,-6.300348,57.450859,8.477833346,5.112999847,34.30622511,373.1726387,16.07600021,1.172000051,14.90400016,6.764666557,9.523999969,13.24266672,4.290000021,1810,217,86,32.76858538,636,281,341,516,44.42857143,0.002975415,137.483871,13.76433849,13.38333702,11.23666668
EUROPE,Soya,NoChange,8.54,62.89,6.149444424,5.565555448,29.85812954,493.5705443,15.69333363,-2.946666718,18.64000034,3.411111007,7.975555539,12.5600001,0.665555497,1167,142,51,28.84076495,385,183,239,352,40.04166667,0.004534355,139.8387097,15.13999367,14.18749332,12.8233331
EUROPE,SPEY,Significant,-3.269963534,57.30756285,6.733999985,6.831333363,38.15534711,411.9652871,15.57999992,-2.32400012,17.90400004,2.957999907,7.987999986,12.09466664,2.153999927,953,107,59,20.95259352,291,184,197,268,49.48,0.001693422,139.1290323,15.0786972,14.39275837,11.94999981
EUROPE,Suld,NoChange,6.25,59.48,6.418750005,6.100694502,30.05885091,545.1248588,16.33333397,-3.962500095,20.29583406,3.634027749,8.85486112,13.31458346,0.148611089,2404,308,99,36.34034818,861,322,443,762,31.68,0.003212022,136.1290323,16.8637352,16.26551628,12.93333371
EUROPE,SUM,Significant,35.4,64.28,1.566500019,6.738333145,20.43157381,942.6944154,17.84000015,-15.14000034,32.9800005,7.994666599,-8.890666644,13.51533349,-9.903333346,522,73,21,40.4664588,196,71,189,78,1,0.000467548,140.0967742,15.37042141,14.06225777,6.319999854
EUROPE,Surn,NoChange,8.67,62.97,6.619333347,6.056666692,29.91241889,532.0811854,16.65200043,-3.595999956,20.24800038,3.574666699,8.990666548,13.44800011,0.435333351,1106,131,50,26.92843879,357,180,239,325,40.4,0.004534355,139.8387097,15.13999367,14.18749332,12.8233331
EUROPE,Sylt,NoChange,7.27,62.84,6.538000003,5.593999992,30.1271006,483.4965508,16.26399994,-2.303999901,18.56799984,6.840000033,8.09133335,12.90199995,1.15200001,2106,244,94,30.14472168,693,330,400,620,87.1,0.005304562,139.2903226,15.55586243,14.44711876,11.15333335
EUROPE,TAY,Significant,-3.386744,56.515419,8.512999997,7.327333401,38.85118351,428.8120591,17.65200043,-1.208000064,18.86000049,4.247333308,9.941333175,14.02199999,3.572666605,754,87,44,19.83646988,230,149,165,216,88.32,0.00137291,139.1290323,14.62695694,13.85203934,10.91333326
EUROPE,TEES,Significant,-1.601744,54.517789,8.979166696,7.348333458,38.48100862,440.0614878,18.34000015,-0.755999982,19.09600013,4.780666858,5.580000013,14.61666663,3.990666787,641,62,40,12.93411648,180,137,162,160,129.56,0.001115733,140,15.83679104,14.91531754,11.80000019
EUROPE,Toda,Significant,8.7,62.82,5.835317449,5.396031665,27.27236305,542.332628,15.49047565,-4.295238018,19.78571367,3.011111145,7.854762018,12.66904751,-0.055555562,1049,126,47,27.27437869,339,168,232,311,39,0.004534355,139.8387097,15.13999367,14.18749332,12.8233331
EUROPE,Tres,NoChange,7.13,62.52,5.904364986,5.509523784,30.48748345,473.4443654,15.21904755,-2.852380991,18.07142854,3.284126927,7.601587236,12.08809503,0.61190472,1735,210,70,31.66815526,581,262,317,539,52.93333333,0.004613157,139.2903226,15.36056805,14.37904167,11.95000013
EUROPE,TUL,Significant,33,68.88,0.505000042,6.34444448,21.33303405,829.6157894,15.00666714,-14.73333359,29.74000072,11.04888892,-5.075555424,11.04888892,-9.373333375,469,64,21,39.09267775,180,65,180,83,18.45,0.000814788,138.2903226,12.67971134,10.3915453,4.096666813
EUROPE,TWE,Significant,-1.98,55.75,8.464492851,6.785507254,38.39278303,409.0299664,17.26086998,-0.413043499,17.67391348,6.665942172,5.092753639,13.72753636,3.947826132,695,69,43,16.28742198,203,143,174,182,92.06666667,0.001269323,140,15.13880825,14.35436344,11.22666677
EUROPE,TYN,NoChange,-2.315388,54.970929,8.383166593,7.778999803,40.13931961,429.86614,17.87999916,-1.5,19.37999916,4.256666581,9.686666727,13.91799974,3.490666707,855,90,55,17.50866295,264,171,195,243,95.84,0.001163104,140,15.45895004,14.59315681,11.11999989
